"","TCGA-02-0047-01","TCGA-06-0129-01","TCGA-06-0141-01","TCGA-06-0157-01","TCGA-06-0168-01","TCGA-06-0174-01","TCGA-06-0187-01","TCGA-06-0190-01","TCGA-06-0644-01","TCGA-06-0646-01","TCGA-06-5412-01","TCGA-14-1823-01","TCGA-76-4928-01","TCGA-76-4931-01"
"GTEX-1117F-0226-SM-5GZZ7",0.115842490842491,0.157417582417582,0.139972527472527,0.111813186813187,-0.00398351648351648,0.121886446886447,0.154304029304029,0.206639194139194,0.106593406593407,0.106639194139194,0.159798534798535,0.0681318681318681,0.127518315018315,0.123855311355311
"GTEX-1117F-0426-SM-5EGHI",-0.0124542124542125,0.0223901098901099,-0.0478021978021978,-0.100915750915751,-0.116575091575092,-0.042032967032967,0.0129120879120879,-0.17014652014652,-0.148122710622711,-0.00375457875457875,-0.0101190476190476,0.0616300366300366,-0.0421703296703297,-0.0472985347985348
"GTEX-1117F-0526-SM-5EGHJ",0.112408424908425,0.114835164835165,0.126831501831502,0.0691391941391941,-0.0221153846153846,0.171794871794872,0.168543956043956,0.176739926739927,0.124496336996337,0.133745421245421,0.187042124542125,0.150137362637363,0.14551282051282,0.145695970695971
"GTEX-1117F-0626-SM-5N9CS",0.224679487179487,0.210531135531136,0.3246336996337,0.276282051282051,0.120879120879121,0.178342490842491,0.218864468864469,0.33470695970696,0.206089743589744,0.254487179487179,0.240888278388278,0.126144688644689,0.215430402930403,0.253021978021978
"GTEX-1117F-0726-SM-5GIEN",0.0430860805860806,-0.071474358974359,0.277472527472527,-0.0121794871794872,0.00315934065934066,0.00032051282051282,0.0141941391941392,0.203846153846154,0.136217948717949,0.0572344322344322,0.144230769230769,0.111446886446886,0.153159340659341,-0.0271520146520147
"GTEX-1117F-1326-SM-5EGHH",-0.0690934065934066,-0.0490842490842491,0.0698717948717949,-0.0664835164835165,-0.105311355311355,-0.0496336996336996,-0.0262362637362637,0.069047619047619,-0.0465659340659341,-0.050503663003663,0.0314102564102564,-0.0477106227106227,-0.0391941391941392,-0.0687728937728938
"GTEX-1117F-2226-SM-5N9CH",-0.00398351648351648,0.0166666666666667,0.113232600732601,0.0277014652014652,-0.0848443223443223,0.0296245421245421,-0.016529304029304,0.18209706959707,0.0341117216117216,0.0556318681318681,0.0582875457875458,0.0756868131868132,0.0632326007326007,0.0792582417582418
"GTEX-1117F-2426-SM-5EGGH",0.17275641025641,0.298809523809524,0.149267399267399,0.303250915750916,0.0494505494505494,0.212042124542125,0.218818681318681,0.321749084249084,0.0856684981684982,0.249130036630037,0.0646978021978022,0.0467948717948718,0.124404761904762,0.305494505494505
"GTEX-1117F-2826-SM-5GZXL",-0.0725274725274725,-0.00471611721611722,0.0102564102564103,-0.0528388278388278,-0.178663003663004,-0.0783424908424908,-0.0478021978021978,-0.038507326007326,-0.168452380952381,-0.082967032967033,-0.0402472527472527,-0.0532051282051282,-0.115384615384615,-0.0431776556776557
"GTEX-1117F-3026-SM-5GZYU",-0.153296703296703,-0.01996336996337,-0.109111721611722,-0.163553113553114,-0.290201465201465,-0.280173992673993,-0.257921245421245,-0.208470695970696,-0.409203296703297,-0.115338827838828,-0.291758241758242,-0.276053113553114,-0.338965201465201,-0.0843864468864469
