CBX5	CCNI	DDB1	DYNC1H1	GNAS	GOLGA2	GPR107	MAGED1	MPHOSPH8	PDHA1	PTPN11	SF3B1	SF3B2	SPTAN1	TPR	UBE2G1	USP47	WNK1	YWHAB	YY1AP1	ZNF24	group
TCGA.HT.7693.01	-0.995097920572539	-0.317435222918977	1.1332075697347	-0.700543638672731	1.36913701176214	0.443084783505649	-0.868721300683817	-1.66386213127291	0.486111601453374	-0.223555272733518	0.476029739839786	2.24301011693493	1.97595145821636	-1.14414310852627	0.87539658401134	-0.884527946383237	-1.31268325601978	-0.51737054272645	0.090604062046654	0.166227705585318	-0.0752946315844399	LOW
TCGA.FG.7634.01	1.0661576954079	0.036584388064893	0.120022795204872	0.764864625290119	0.0881881485767144	-0.470436546399216	0.0792078020393668	0.886284447463819	-0.204397995804604	-0.139342139642375	0.644414046423965	0.0684479454688845	-0.230555621219212	-0.427334795798196	0.769111276845936	0.582759037089129	0.523225084480368	1.95593149911402	0.645567478863124	-0.847879123623743	0.29800532701049	LOW
TCGA.DU.6542.01	0.731206521620703	0.477270521025525	1.41837653321569	-0.657473919866461	0.440470592817437	0.921564615523536	0.0260461850620934	-0.298616943108851	1.3991139072048	-1.7124853976355	0.906837541772987	0.689856107694062	0.274827427132975	0.19596582212604	0.302552278056831	0.162519301413057	0.75680822001507	-0.255397850105878	0.0106192063159503	0.840272332673515	0.680315974261162	LOW
TCGA.HT.7608.01	-0.138475185421839	-0.28224336247993	0.909696760519884	0.555742978556043	-0.164732580621749	-0.530986951551411	0.76348402056444	0.546164573285889	0.108916931585579	1.0144826133326	1.51833844463132	-0.881251321328079	0.344596084620115	1.92976483170988	-0.0220899495601326	0.550516976744669	1.1697881018451	-0.365879888061884	0.262900206754237	-0.205449337733916	0.82989340594644	LOW
TCGA.FG.7643.01	-0.869319401824816	0.0526045633393856	-0.222308415460353	0.76668081825183	1.0362107457764	0.698778613958126	0.721816807257928	-0.365587449307603	0.729680279403718	0.795039262373089	0.429502497230999	-1.89323796287638	-1.59426904403498	0.833128766773221	-1.45770295236159	0.91228382332147	0.180350757089977	0.86606720329472	1.54923199617681	-1.06472450876637	-0.700636424292778	HIGH
TCGA.HT.7855.01	1.09891967752252	0.852562823767324	0.941810382533507	0.265152104682389	0.513163795597266	0.184100170164461	-0.116197060363591	-0.594340639020194	1.06537484446463	-0.7288340712804	0.79655074447809	1.39883299089318	0.70135430378752	-0.0376773937315306	1.04959485248873	0.625930609414765	1.3032641792935	0.17109176366316	-1.81040586525161	0.84756806525775	1.04949676089918	HIGH
TCGA.CS.5395.01	1.73628914775233	-0.442182489400685	0.634161883642989	0.271638508117068	-0.895535844071054	-1.58699918053725	1.7739139432474	0.396923183067698	0.048296359642543	-0.907044435913118	1.13455023708054	-0.35107584329752	-0.837367053985468	1.38081669348142	1.44671817782881	1.05546043027483	1.11713240156729	1.15771083623973	0.967698267696373	-2.8246173354753	0.518381026705152	HIGH
TCGA.HT.7856.01	-1.05603978940113	0.00480666334007925	-1.00042147685046	0.762010607778858	0.550155602929012	1.19206696897519	-0.241557900397845	-0.33548834539805	1.10557128105768	0.447354335295536	-0.149010836793588	-1.2036800847468	-1.48697774722703	1.36544211293415	-1.21437355286258	-2.06436876475077	-0.571217523038065	0.166267220520979	1.24764526275384	-0.810184505271849	-0.866433095558387	HIGH
TCGA.DU.5855.01	0.666828081241636	0.308139490258748	-0.365856305861254	-1.02875565246753	1.51753437838368	0.0152830079738311	-0.486532378630971	0.499761788091999	0.88394768470679	-0.417140649216903	-0.0485710749714489	0.0695471344350822	0.20124787658982	-0.249392929136447	-0.109798168653647	-0.975242895826969	0.715173480260522	-0.709387359785359	-0.549274783798986	1.1657430696259	-0.135022624959632	LOW
TCGA.FG.6691.01	0.682407205603827	0.0859580430092277	0.669808004078114	0.453776716562875	-0.749289163922279	-1.11937893205209	0.43086471434175	1.52965279353048	-0.0720756721009824	-0.283308159698609	0.588532120116057	-0.17190804180689	0.0452944069126988	-0.256198071345888	0.521518283363204	0.769107216368118	-0.49437693716754	2.06520740128448	-0.695548458320207	-0.666701764448507	0.801316650495383	LOW
TCGA.CS.6186.01	-1.04893754153013	-1.85904881080867	-0.563676217465178	-1.59255383900989	-0.754020674162391	-0.741267978139742	-0.0799178487777492	0.815802379142286	-0.919025455018413	-1.331604422244	-1.15808579686456	0.476979844573287	0.172226460240129	-1.59605495969415	0.19291700418994	0.515542538404921	-0.452129921828367	-0.829518484025735	-0.300828673703953	-0.776543071688973	0.174430168303203	HIGH
TCGA.CS.6666.01	1.93286104044003	1.47367289793413	1.95660083816402	0.749816169321661	-0.132902420824661	-1.41357492230243	-1.53575591370275	-0.335237519532138	0.0763252262398621	0.898121728190055	1.306627181967	0.288285738708924	1.51102250538192	-0.607797085500482	1.00056352167604	1.36094029014859	1.20774918809189	0.152276045408645	-0.272340916868362	-0.465663799905065	0.445523172717314	LOW
TCGA.HT.A614.01	-0.587062325145047	-0.550121703135381	-1.49914602672204	-0.320699853537885	0.153999154643661	-0.518481976574327	-0.926193319037629	0.289068060725141	-1.2488535131171	-0.862666560798694	0.206713319659827	1.11927259715626	0.00953064131004974	-0.908483554236277	-1.23843240462781	1.21175245160559	-0.302122403595073	-1.6400417319126	-0.558040247440711	0.00896413654730122	-0.129101315271574	LOW
