original_firstorder_10Percentile	original_firstorder_90Percentile	original_firstorder_Energy	original_firstorder_Entropy	original_firstorder_InterquartileRange	original_firstorder_Kurtosis	original_firstorder_Maximum	original_firstorder_MeanAbsoluteDeviation	original_firstorder_Mean	original_firstorder_Median	original_firstorder_Minimum	original_firstorder_Range	original_firstorder_RobustMeanAbsoluteDeviation	original_firstorder_RootMeanSquared	original_firstorder_Skewness	original_firstorder_TotalEnergy	original_firstorder_Uniformity	original_firstorder_Variance	original_glcm_Autocorrelation	original_glcm_JointAverage	original_glcm_ClusterProminence	original_glcm_ClusterShade	original_glcm_ClusterTendency	original_glcm_Contrast	original_glcm_Correlation	original_glcm_DifferenceAverage	original_glcm_DifferenceEntropy	original_glcm_DifferenceVariance	original_glcm_JointEnergy	original_glcm_JointEntropy	original_glcm_Imc1	original_glcm_Imc2	original_glcm_Idm	original_glcm_Idmn	original_glcm_Id	original_glcm_Idn	original_glcm_InverseVariance	original_glcm_MaximumProbability	original_glcm_SumEntropy	original_glcm_SumSquares	original_glrlm_GrayLevelNonUniformity	original_glrlm_GrayLevelNonUniformityNormalized	original_glrlm_GrayLevelVariance	original_glrlm_HighGrayLevelRunEmphasis	original_glrlm_LongRunEmphasis	original_glrlm_LongRunHighGrayLevelEmphasis	original_glrlm_LongRunLowGrayLevelEmphasis	original_glrlm_LowGrayLevelRunEmphasis	original_glrlm_RunEntropy	original_glrlm_RunLengthNonUniformity	original_glrlm_RunLengthNonUniformityNormalized	original_glrlm_RunPercentage	original_glrlm_RunVariance	original_glrlm_ShortRunEmphasis	original_glrlm_ShortRunHighGrayLevelEmphasis	original_glrlm_ShortRunLowGrayLevelEmphasis	original_glszm_GrayLevelNonUniformity	original_glszm_GrayLevelNonUniformityNormalized	original_glszm_GrayLevelVariance	original_glszm_HighGrayLevelZoneEmphasis	original_glszm_LargeAreaEmphasis	original_glszm_LargeAreaHighGrayLevelEmphasis	original_glszm_LargeAreaLowGrayLevelEmphasis	original_glszm_LowGrayLevelZoneEmphasis	original_glszm_SizeZoneNonUniformity	original_glszm_SizeZoneNonUniformityNormalized	original_glszm_SmallAreaEmphasis	original_glszm_SmallAreaHighGrayLevelEmphasis	original_glszm_SmallAreaLowGrayLevelEmphasis	original_glszm_ZoneEntropy	original_glszm_ZonePercentage	original_glszm_ZoneVariance	original_gldm_DependenceEntropy	original_gldm_DependenceNonUniformity	original_gldm_DependenceNonUniformityNormalized	original_gldm_DependenceVariance	original_gldm_GrayLevelNonUniformity	original_gldm_GrayLevelVariance	original_gldm_HighGrayLevelEmphasis	original_gldm_LargeDependenceEmphasis	original_gldm_LargeDependenceHighGrayLevelEmphasis	original_gldm_LargeDependenceLowGrayLevelEmphasis	original_gldm_LowGrayLevelEmphasis	original_gldm_SmallDependenceEmphasis	original_gldm_SmallDependenceHighGrayLevelEmphasis	original_gldm_SmallDependenceLowGrayLevelEmphasis	CBX5	CCNI	DDB1	DYNC1H1	GNAS	GOLGA2	GPR107	MAGED1	MPHOSPH8	PDHA1	PTPN11	SF3B1	SF3B2	SPTAN1	TPR	UBE2G1	USP47	WNK1	YWHAB	YY1AP1	ZNF24	group
02-0003_X000047.jpg	-0.153660480302671	-0.153643509593329	6.44293354636967	-0.153702591812464	-0.15369409536156	-0.153701617400024	-0.153620011688086	-0.153697577359485	-0.153652059893599	-0.153651668588205	-0.153679735530578	-0.153643509593329	-0.153699583460509	-0.153651486871071	-0.153703249264271	6.44293354636967	-0.153703126030812	-0.153522523415635	-0.15369546192793	-0.153701666288721	-0.153684918483119	-0.153703670757946	-0.153702090393275	-0.153703074661781	-0.153702986544636	-0.153703109517007	-0.153702871763896	-0.153703123322026	-0.153703172341267	-0.153702162551425	-0.153703347074302	-0.153702953092757	-0.153702965559701	-0.153702908968913	-0.153702963829994	-0.153702919151338	-0.153703134418259	-0.153703112127885	-0.153702334738853	-0.153702907989833	-0.153678762097217	-0.153703151356332	-0.153702754372278	-0.153695377955554	-0.153698634014593	-0.153593885933774	-0.153703013273503	-0.153703213723689	-0.153701736553985	-0.153678154545823	-0.153703150997337	-0.153703112878513	-0.1537011961348	-0.153703072768894	-0.153699267805315	-0.153703222861764	-0.153700899963286	-0.153703175115326	-0.153702245381541	-0.153693589503878	-0.15275997203821	-0.131624291627887	-0.153660412713557	-0.153703208697748	-0.153701193687102	-0.153703182458421	-0.153703125704453	-0.153699795365924	-0.153703226973897	-0.15370167206529	-0.153703217183103	-0.152891824659004	-0.153701711881184	-0.153665400861937	-0.153703186374738	-0.153701725979928	-0.153616883659994	-0.153702917845899	-0.15369545761998	-0.153689815740296	-0.153383579453399	-0.153702589658489	-0.153703215975572	-0.153703214735405	-0.153702738576464	-0.153703232293562	-0.212918658322191	2.5289802523886	1.15815967419424	1.14568768116045	2.37423081049464	-0.0891191073215605	-0.145890165466442	1.81699259140273	0.0821284572721693	1.21911676022726	0.166720024233786	1.66435464426007	0.984120728240105	0.300130636683463	0.507969521069279	1.47757753378682	0.922348589910252	0.758093903021694	2.17683678033687	1.22961979973659	0.0888489384045749	HIGH
02-0003_X000060.jpg	-0.153819018867913	-0.153764295534272	6.44291577442319	-0.153873624432906	-0.153848440015032	-0.153871929690772	-0.15369965307103	-0.153857903537154	-0.153797121128415	-0.153803887992252	-0.153842555785609	-0.153732436634962	-0.153863462452752	-0.153794089489355	-0.153874476301206	6.44291577442319	-0.153875090026335	-0.153300222078912	-0.153865387688559	-0.153872559555501	-0.15382312774126	-0.15386990946669	-0.153871912122144	-0.153874948384526	-0.153874670817018	-0.153875016977829	-0.153874421493812	-0.15387507699697	-0.15387520115421	-0.153872527864723	-0.153875650289036	-0.153874602644018	-0.15387465308027	-0.153874504629567	-0.15387464904537	-0.153874533798533	-0.153875071448982	-0.153875053207871	-0.153872956909108	-0.153874384759408	-0.153812644229997	-0.153875142564097	-0.153874010102115	-0.15386410206849	-0.153863254655392	-0.153750591920487	-0.153873803649722	-0.153875226372336	-0.153871499553601	-0.15380835925007	-0.153875133485572	-0.153875021348971	-0.153869721927892	-0.153874940735028	-0.153869248499604	-0.153875286559597	-0.153870384239944	-0.153875208971829	-0.153872598643597	-0.15385950060108	-0.150688122188658	-0.123041910844957	-0.153511967839998	-0.15387519913676	-0.15387171146992	-0.153875243856904	-0.153875105829694	-0.153870370538095	-0.153875297907754	-0.153871121617951	-0.153875301354231	-0.151098877212181	-0.15387135950894	-0.153770211790716	-0.153875214183576	-0.153871628418225	-0.153665934839283	-0.153874391820483	-0.153865441235046	-0.15384166617418	-0.153519224355784	-0.153871066138073	-0.153875229230391	-0.153875292780069	-0.15387461911986	-0.153875332960949	-0.212918658322191	2.5289802523886	1.15815967419424	1.14568768116045	2.37423081049464	-0.0891191073215605	-0.145890165466442	1.81699259140273	0.0821284572721693	1.21911676022726	0.166720024233786	1.66435464426007	0.984120728240105	0.300130636683463	0.507969521069279	1.47757753378682	0.922348589910252	0.758093903021694	2.17683678033687	1.22961979973659	0.0888489384045749	HIGH
02-0003_X000026.jpg	-0.153437317024832	-0.153364821487126	6.44295076304514	-0.153513410794593	-0.153481307035575	-0.15350983096293	-0.153259346009937	-0.153491483257329	-0.153403042522175	-0.153410168903916	-0.153470498061507	-0.153304592878131	-0.153500891891101	-0.153398194772717	-0.153514291097551	6.44295076304514	-0.153515490340655	-0.152405637451881	-0.153497765131412	-0.153511683570811	-0.153242897767863	-0.153490471034614	-0.153508521116371	-0.153514820988652	-0.153514966683568	-0.153515127762418	-0.15351432337365	-0.153515214334759	-0.15351564397891	-0.153511679649416	-0.153516037827761	-0.15351488483701	-0.153515017963352	-0.153514748292017	-0.153515004992583	-0.153514793337788	-0.153515324234375	-0.153515555697243	-0.153512516213735	-0.153513708016243	-0.153459060759262	-0.153515522415658	-0.153513253436041	-0.153495545420607	-0.15350994196858	-0.15341901305787	-0.153515256967364	-0.153515657854616	-0.153511534758889	-0.153419857867173	-0.153515374307576	-0.153515213932565	-0.153513781617815	-0.153515123941572	-0.153501546965204	-0.153515693750465	-0.153508548767234	-0.15351560386002	-0.153511752346051	-0.153487591322825	-0.153176206096215	-0.148362865976283	-0.1534888356117	-0.153515655340901	-0.1535074841587	-0.153515582945912	-0.153515392707969	-0.153502940468196	-0.153515724618884	-0.153511015023197	-0.153515638147092	-0.15326527334967	-0.153510762445124	-0.153447836921687	-0.153515603457826	-0.153511864960479	-0.15339355747147	-0.153513811581297	-0.153497639847862	-0.153488959185924	-0.153099423468022	-0.153513434222416	-0.153515657251325	-0.15351564538659	-0.153513071342533	-0.153515737489104	-0.212918658322191	2.5289802523886	1.15815967419424	1.14568768116045	2.37423081049464	-0.0891191073215605	-0.145890165466442	1.81699259140273	0.0821284572721693	1.21911676022726	0.166720024233786	1.66435464426007	0.984120728240105	0.300130636683463	0.507969521069279	1.47757753378682	0.922348589910252	0.758093903021694	2.17683678033687	1.22961979973659	0.0888489384045749	HIGH
02-0003_X000058.jpg	-0.153676826287994	-0.153655103029738	6.44293184576815	-0.153716389119718	-0.15370627638382	-0.153715808793548	-0.153630702490043	-0.15371036618539	-0.153666290236623	-0.153666625506816	-0.153695431699511	-0.15365239185866	-0.153712533631108	-0.153665532260969	-0.153717115883014	6.44293184576815	-0.153717029430547	-0.153488046903653	-0.153709814597635	-0.153715581427964	-0.153693975631195	-0.153717119949771	-0.153715672658871	-0.153716919526449	-0.153716864862462	-0.153716960295684	-0.153716714053571	-0.153716998353748	-0.15371707972277	-0.153715878707873	-0.153717226126008	-0.153716832701195	-0.1537168585251	-0.153716784577909	-0.153716856457832	-0.153716797896537	-0.153716989542442	-0.153717043460857	-0.153716096245462	-0.153716708597339	-0.153686549360828	-0.153717040546348	-0.153716612418545	-0.153709684630871	-0.153714190902208	-0.153654853059764	-0.153716948569869	-0.153717097684279	-0.153715637820322	-0.153676931278094	-0.153717017636953	-0.15371696815808	-0.153715969735442	-0.153716935962924	-0.153712999003623	-0.153717108020618	-0.153715016352132	-0.15371706569246	-0.153715976716707	-0.15370820273865	-0.152647599763954	-0.130637091135932	-0.153663512506295	-0.153717090804682	-0.153716104378975	-0.153717094329204	-0.153717057118381	-0.153715320409969	-0.1537171172386	-0.153715431737431	-0.153717105750013	-0.152813198974482	-0.153715449766719	-0.153676346986837	-0.153717072538167	-0.153715857662407	-0.153640135094786	-0.153716714561916	-0.153709782741374	-0.153706018992016	-0.153479095972341	-0.153716470115953	-0.153717099209312	-0.153717100836015	-0.15371665325556	-0.153717119746433	-0.212918658322191	2.5289802523886	1.15815967419424	1.14568768116045	2.37423081049464	-0.0891191073215605	-0.145890165466442	1.81699259140273	0.0821284572721693	1.21911676022726	0.166720024233786	1.66435464426007	0.984120728240105	0.300130636683463	0.507969521069279	1.47757753378682	0.922348589910252	0.758093903021694	2.17683678033687	1.22961979973659	0.0888489384045749	HIGH
02-0003_X000069.jpg	-0.153613604758631	-0.153569264148119	6.44293974798495	-0.153672349452812	-0.153652857102363	-0.153669018600688	-0.153488578774892	-0.153658661433658	-0.15358911165959	-0.153590344110493	-0.153639046092531	-0.153523469747098	-0.153665045681987	-0.153586276550029	-0.153672972256666	6.44293974798495	-0.153673726846629	-0.153001185984561	-0.153660231382028	-0.15367089159169	-0.153517213795782	-0.153661105764329	-0.15366967237028	-0.153673456296216	-0.153673357075014	-0.153673599421891	-0.153673026410362	-0.1536736194842	-0.1536738262859	-0.153671287458846	-0.153674194676415	-0.153673295361607	-0.153673364925482	-0.153673214821612	-0.153673358383425	-0.153673239826809	-0.153673695953581	-0.153673698861162	-0.153671755942837	-0.153672750698992	-0.153632839061265	-0.15367378041881	-0.153672148829722	-0.15365869319898	-0.153665885100626	-0.153529274950668	-0.153673385932755	-0.153673878186221	-0.153670648881365	-0.153615044374682	-0.15367371754237	-0.153673632422936	-0.153670399410913	-0.153673534364766	-0.153664375920699	-0.153673904790588	-0.153670048175127	-0.153673839806152	-0.153670593346567	-0.15365242096521	-0.152601330427503	-0.135747173613846	-0.153604949035322	-0.153673868736583	-0.153670702380855	-0.153673856161295	-0.153673717033544	-0.153666869026042	-0.153673910387681	-0.153670263990328	-0.153673890470751	-0.152778227656587	-0.15367043677333	-0.153610624924225	-0.15367383559016	-0.153670311383898	-0.15354275813074	-0.153672796275325	-0.15366013768523	-0.153647128150105	-0.15320485200366	-0.153672063855667	-0.153673881748008	-0.153673886690896	-0.153672675465334	-0.153673932703365	-0.212918658322191	2.5289802523886	1.15815967419424	1.14568768116045	2.37423081049464	-0.0891191073215605	-0.145890165466442	1.81699259140273	0.0821284572721693	1.21911676022726	0.166720024233786	1.66435464426007	0.984120728240105	0.300130636683463	0.507969521069279	1.47757753378682	0.922348589910252	0.758093903021694	2.17683678033687	1.22961979973659	0.0888489384045749	HIGH
02-0009_X000027.jpg	-0.153650887696603	-0.15363004588096	6.44293707684464	-0.153683132924319	-0.15367219484068	-0.153683081272863	-0.153621253622657	-0.153677276398615	-0.153641334528347	-0.153642315857032	-0.153657990077962	-0.15364696914137	-0.153679021012877	-0.153640612852928	-0.153683590636062	6.44293707684464	-0.153683651349177	-0.153431869750303	-0.153680353517584	-0.153682851033252	-0.153658877165394	-0.153681897379364	-0.153682136068359	-0.153683616743436	-0.153683486892312	-0.153683620343608	-0.153683470973181	-0.153683647773495	-0.153683678142298	-0.15368282725252	-0.153683822418603	-0.153683474622336	-0.153683502958388	-0.153683462450323	-0.153683502713478	-0.153683471291564	-0.153683623502944	-0.15368366053329	-0.153682922375449	-0.153683290989041	-0.15366609409102	-0.15368365142265	-0.153683289225691	-0.153680325230513	-0.153680663744703	-0.15364387382561	-0.153683298703697	-0.153683671015426	-0.15368254325523	-0.15366492457372	-0.15368365017361	-0.153683614245357	-0.153682610433961	-0.153683599550775	-0.153682230383085	-0.153683690240837	-0.153682774939808	-0.153683659063832	-0.153682850861816	-0.153680497279579	-0.152133574128615	-0.1339001325305	-0.153518723131048	-0.153683630531852	-0.153683313741152	-0.153683686003899	-0.153683658329103	-0.153683272841232	-0.153683692396043	-0.153682671612405	-0.153683699963752	-0.152597004512291	-0.15368246045126	-0.153650755396382	-0.153683667733636	-0.153682879148886	-0.153636514582956	-0.153683298679206	-0.153680380727052	-0.153674021818075	-0.153554129506252	-0.153682411175427	-0.15368367214201	-0.153683695065558	-0.153683566341019	-0.153683703955781	-0.231583150702127	2.4470961252769	0.856626761589502	1.07926880512124	2.33278600103091	-0.0726910197828625	0.0477220193590776	2.0152193721083	0.593827979746634	1.75092335232363	0.173739514540556	1.51960053448667	1.13376609883735	0.765511778019225	0.29313770881034	1.13677035432176	1.08640260948294	0.483578108372335	2.63573719487015	0.559166312456579	0.0917502443828695	LOW
02-0009_X000072.jpg	-0.154122463824937	-0.154089873559253	6.44283946595308	-0.154146742774744	-0.154134435759271	-0.154145897290137	-0.15406083053337	-0.154138119257422	-0.154106191217068	-0.154106501245827	-0.15414773790853	-0.15406083053337	-0.154141948059384	-0.154104098655968	-0.154147782825454	6.44283946595308	-0.154147613400413	-0.153745717693191	-0.154139018482712	-0.154145838982383	-0.154090468786091	-0.154147854745741	-0.154145213559665	-0.154147562054117	-0.154147352190542	-0.154147584180025	-0.154147286433584	-0.154147617213696	-0.154147666475988	-0.154146181734428	-0.154147935888851	-0.154147326473053	-0.154147369172952	-0.154147297163984	-0.154147367842737	-0.154147311352944	-0.154147602226607	-0.154147584091344	-0.154146382508201	-0.154147062868795	-0.154095015239006	-0.154147639738668	-0.154146934680417	-0.154138849057671	-0.154140438176762	-0.154010193685191	-0.154147132084312	-0.154147695252971	-0.154145554804134	-0.154093871830596	-0.154147640093392	-0.154147583337555	-0.154144422791232	-0.154147542854681	-0.154143931055114	-0.154147717822284	-0.154143486452946	-0.154147654548394	-0.154146601195535	-0.154138939379264	-0.150976922857919	-0.0994424839120526	-0.153941916812538	-0.154147685675424	-0.1541458512647	-0.154147700928555	-0.154147634151766	-0.154145790562559	-0.154147729129111	-0.154145461910792	-0.154147723187485	-0.151379123361721	-0.15414552682528	-0.154046554977169	-0.15414767201855	-0.154145916223529	-0.15395649987009	-0.154147070051956	-0.154138992188797	-0.154128818705044	-0.153780793731508	-0.154146061660361	-0.154147697203953	-0.154147717201517	-0.15414733866669	-0.154147735780186	-0.231583150702127	2.4470961252769	0.856626761589502	1.07926880512124	2.33278600103091	-0.0726910197828625	0.0477220193590776	2.0152193721083	0.593827979746634	1.75092335232363	0.173739514540556	1.51960053448667	1.13376609883735	0.765511778019225	0.29313770881034	1.13677035432176	1.08640260948294	0.483578108372335	2.63573719487015	0.559166312456579	0.0917502443828695	LOW
02-0011_X000084.jpg	-0.154047355717015	-0.154028044984792	6.4428634574849	-0.154055455081734	-0.154042397556039	-0.154055607949666	-0.154022564912134	-0.154049462870191	-0.154038122877553	-0.154038352740506	-0.154048530018299	-0.154029871675678	-0.154050546515416	-0.154036698397905	-0.154055814952887	6.4428634574849	-0.154055818475791	-0.153653506913811	-0.154053103360744	-0.15405531428301	-0.153964998079738	-0.154054834398267	-0.154053228632596	-0.154055792745545	-0.154055710635789	-0.154055794820144	-0.154055714419649	-0.154055806732778	-0.154055826187036	-0.154055302957527	-0.154055915694889	-0.154055708261091	-0.154055727076007	-0.154055706838882	-0.154055726932482	-0.154055710479216	-0.154055796646834	-0.154055811991038	-0.154055350581968	-0.154055173732195	-0.15404210934336	-0.154055819349993	-0.154055277775288	-0.154053040405148	-0.154053305797238	-0.154014255882444	-0.15405465461274	-0.154055812317233	-0.154055129800279	-0.15403268845912	-0.154055808311561	-0.154055793123931	-0.154054593823077	-0.154055783533804	-0.15405469143361	-0.154055829618605	-0.154055361163727	-0.154055821437639	-0.154055047664428	-0.154051951906144	-0.15140735386085	-0.105524111291384	-0.15317207061818	-0.154055815566133	-0.154055512687736	-0.154055826330561	-0.154055810921119	-0.154054738170801	-0.154055835881545	-0.154055207199781	-0.154055835059534	-0.152157160640023	-0.154055127477772	-0.154005532598405	-0.154055815370416	-0.154055379991691	-0.154012809378123	-0.15405517174893	-0.154053152824924	-0.154050164880546	-0.153942509766527	-0.154053795350395	-0.154055799895735	-0.154055831888921	-0.15405572688029	-0.154055835803258	1.06423269000047	2.15134979066295	1.07798024960895	0.968610992152667	2.01185943466971	-0.0486331755216453	-0.141937477542571	1.82664811425716	0.658718423992048	1.62554500559007	0.407934722876771	1.86416592708899	1.36152701935331	0.712715963899111	1.07863577765255	1.43483176854507	1.17885091632205	1.31616710330396	2.11255316100564	1.30582518632277	0.253606032908449	LOW
02-0011_X000009.jpg	-0.153756625164668	-0.153740669142111	6.44292175072872	-0.15379040599527	-0.153781429141223	-0.153790419150501	-0.153736765008932	-0.153786006779812	-0.153748779108847	-0.153749071515692	-0.153761378022451	-0.153766258188925	-0.153787231956214	-0.153748373418487	-0.153790867595364	6.44292175072872	-0.153790820597239	-0.153629130518492	-0.153787990015812	-0.153790122330289	-0.153780202352244	-0.153791031590176	-0.153789857846485	-0.153790809563819	-0.153790683422125	-0.153790809712346	-0.153790687686966	-0.153790827768962	-0.153790842154844	-0.153790179937472	-0.153790976338204	-0.153790672091652	-0.153790689745123	-0.153790660676306	-0.153790689745123	-0.153790667805592	-0.153790809839655	-0.153790821849108	-0.153790241958022	-0.153790602453798	-0.153778505730542	-0.153790822315907	-0.1537905756341	-0.153788257745988	-0.153787521965411	-0.153742031429973	-0.153790482083431	-0.153790837041278	-0.153789868879904	-0.153779658213682	-0.153790828278197	-0.153790801861644	-0.153789669917639	-0.153790799145725	-0.153790040004003	-0.153790857113615	-0.15379020202553	-0.153790819727296	-0.153790368990877	-0.153788830995804	-0.15176054240174	-0.125512314039949	-0.153602801808186	-0.153790796875386	-0.153790659021293	-0.153790854885713	-0.153790864455083	-0.153790852297103	-0.153790866131314	-0.153790086047312	-0.1537908676378	-0.152514632960617	-0.153789868667723	-0.15376327313962	-0.153790835598447	-0.153790261436252	-0.153751658746557	-0.153790591335505	-0.15378805780769	-0.153781615987945	-0.153661209083374	-0.153789741443905	-0.153790841857791	-0.153790864115593	-0.15379078647851	-0.153790869908139	1.06423269000047	2.15134979066295	1.07798024960895	0.968610992152667	2.01185943466971	-0.0486331755216453	-0.141937477542571	1.82664811425716	0.658718423992048	1.62554500559007	0.407934722876771	1.86416592708899	1.36152701935331	0.712715963899111	1.07863577765255	1.43483176854507	1.17885091632205	1.31616710330396	2.11255316100564	1.30582518632277	0.253606032908449	LOW
02-0011_X000020.jpg	-0.153805260522014	-0.153788115010366	6.44291303933507	-0.153829937083805	-0.153820753939708	-0.153829942684807	-0.153779048641105	-0.153825097959581	-0.153796896131503	-0.153797080642191	-0.153811083145829	-0.153798390228863	-0.153826456363613	-0.153796280061638	-0.153830388991944	6.44291303933507	-0.153830383209615	-0.15362349609749	-0.153826480359271	-0.153829568848181	-0.15381034234287	-0.153830025773044	-0.153829125704199	-0.153830359213958	-0.153830242660744	-0.153830360442955	-0.153830240847471	-0.153830380429262	-0.153830402329581	-0.153829702365579	-0.153830527324592	-0.153830232486263	-0.153830255293219	-0.153830224266089	-0.153830255212629	-0.153830230390925	-0.153830361490624	-0.153830387702505	-0.153829770927478	-0.153830083596333	-0.153814579218406	-0.153830384559497	-0.153830033308204	-0.153826737723273	-0.153827494785254	-0.153771928035571	-0.153830203937274	-0.153830405371851	-0.1538294203612	-0.153813591971383	-0.153830383552123	-0.153830355103871	-0.153829366688294	-0.153830347367236	-0.153829094374856	-0.15383041613061	-0.153829401865807	-0.153830385385544	-0.153829693641717	-0.153827115891608	-0.152251388670734	-0.121673159818293	-0.153734747137295	-0.153830385385544	-0.153829913289623	-0.153830405069639	-0.153830384680382	-0.153829706616699	-0.153830412604799	-0.153829524201349	-0.15383042013996	-0.152638721131246	-0.15382940015327	-0.153793491206158	-0.153830392336427	-0.153829781444466	-0.153783083799998	-0.153830073824801	-0.153826555348218	-0.153821953239034	-0.153661353387208	-0.153829784385999	-0.153830407749255	-0.153830416876067	-0.153830282371442	-0.153830423806802	1.06423269000047	2.15134979066295	1.07798024960895	0.968610992152667	2.01185943466971	-0.0486331755216453	-0.141937477542571	1.82664811425716	0.658718423992048	1.62554500559007	0.407934722876771	1.86416592708899	1.36152701935331	0.712715963899111	1.07863577765255	1.43483176854507	1.17885091632205	1.31616710330396	2.11255316100564	1.30582518632277	0.253606032908449	LOW
