CBX5	CCNI	DDB1	DYNC1H1	GNAS	GOLGA2	GPR107	MAGED1	MPHOSPH8	PDHA1	PTPN11	SF3B1	SF3B2	SPTAN1	TPR	UBE2G1	USP47	WNK1	YWHAB	YY1AP1	ZNF24	group
TCGA.06.1802.01	0.872451690645585	0.0390979508720141	0.697322928858837	0.594726462595067	0.0739556776546942	0.149758438679794	-0.227447479076925	-0.217538731028821	-1.26948161635594	-0.0534456263644548	0.173195363784093	0.176537692571526	0.0320542349787249	0.476296527486021	0.375683435639523	-0.436225536794347	1.10182959325956	0.822615004927905	0.251159721162688	0.198175177975902	-0.525727872078646	HIGH
TCGA.14.1823.01	0.0862046230919069	-0.665126603553599	-1.33765659045215	-1.13596788963663	-1.62460816980417	-1.9358557927278	-0.821801297364792	-0.933556333445018	-0.636595101166998	-0.76097093752956	-1.18844211809512	-0.471145582325755	-1.6744983906425	-0.547976784525348	-0.930353219493276	-1.67443365798821	-2.18188433388017	-0.110907037276003	-0.991684121744289	-1.07336120461737	-0.627812494303092	HIGH
TCGA.76.4931.01	-0.562579465563943	0.764628333121657	0.489486210648871	0.444973969113972	-0.116488279846319	0.176616643046563	0.24028993360127	-0.941927440329733	0.405263580873348	-0.154296100657975	-0.216784256332204	-0.307854641036132	0.713584965238413	0.117735524144115	0.673620238777994	-0.257031186003523	0.347751362908191	-0.695969046350661	-0.0894596452025149	0.0563561662773495	0.029259288336967	HIGH
TCGA.06.0157.01	0.613095036209839	0.262665140163719	0.359333391663666	1.31847682642576	1.48225481398467	-0.101167684292976	0.611248126333284	1.16230303992485	-1.06701353769872	0.414219392042702	1.14004754491142	0.172791804082307	0.907286494988921	1.82923279617286	0.395933795584726	0.27419761752362	0.432520576548376	0.5384225009872	0.683929877072561	0.102462911966101	0.704743640492685	HIGH
TCGA.06.0173.01	-0.682556563491056	0.979751018784004	0.562601515590773	0.1683210643872	0.48854353212428	-0.671602033373341	0.692627508517661	0.223921251721178	-0.416384715231863	0.134118308014169	0.23034751332468	-0.174496754128526	0.626519005715362	0.0436427202884245	-0.177413916043472	1.35247360196506	0.237005617117392	0.275815539574562	1.02173921405167	0.170602015296215	-0.911912430386849	HIGH
TCGA.08.0389.01	0.858497332348887	0.580737779341287	0.0351970933373158	0.669383674410405	0.00837675734935773	0.425054021754521	0.332362366806381	0.430204100598545	-1.74718520170088	-0.195778593529188	-0.682360526132612	0.396219154043997	1.86177338467982	0.660152811665243	0.778331231036653	-1.15749095876161	0.702658621767776	0.529690213477153	-0.0787694173223926	1.35184614075315	-0.565779459439477	HIGH
TCGA.06.0190.01	-0.183095997776001	0.536499221145517	-1.46960938982259	0.0885283260177373	-0.117734798443652	-0.208663226209005	-0.0309516200306452	0.613674459369031	-0.115589763443493	-0.438639535324542	-0.363859899180266	0.96130133106257	-1.1325201782358	-0.285204193113855	0.332226736036868	0.171935766843364	0.336042916221769	-0.0631597469744085	0.460446329362437	0.396581440714702	-0.34223123288566	HIGH
TCGA.06.0128.01	0.499365254733796	0.285426386212859	-1.05968673819277	-0.356383838486219	-0.333803988780422	-0.998499604241176	-1.38067170703733	-0.311010331966001	-0.586508596950953	-0.369214861515706	0.676709451120692	0.624541699190463	-0.124493475967956	-0.136536686492367	-0.171938707368752	-0.327816460358365	-0.890410165750832	-0.00810984139621192	-0.241222202420478	0.121482555733785	0.697359842468151	HIGH
TCGA.06.0213.01	-0.823468501409361	-2.90252213376444	-1.67326903490694	-1.16826206203258	-2.70056852407312	-2.29276600073382	-2.01420904466024	-2.19037422124466	-2.31006939968056	-2.64685548799802	-1.67002963202103	-2.93531447458544	-2.50136169254973	-1.36887859935145	-2.30318900288792	-2.68424846670123	-2.93819721683949	-1.99580070492818	-2.90078686411199	-2.57308441873706	-2.55198815333114	HIGH
TCGA.06.0644.01	0.364315336216718	-0.41328208916926	0.0349021812967972	-0.881513332137735	-0.0225063104576491	1.15655666226266	1.49325577544856	0.586854953359128	-0.229320583750027	0.342169539818483	-0.366377060578221	-0.584548099645346	0.538117211537573	-0.76810527238339	-0.153781902648014	0.523654396034216	-0.198532499385241	-0.141938449332385	-0.161422959953515	-0.472590106965993	-0.00395385193553123	HIGH
TCGA.76.6285.01	1.27625070482494	-1.00178110804628	2.14886473821792	0.691674690260483	0.169473826620231	1.37051785111034	2.03342006981587	1.42849675180067	1.48805174896825	0.817234912809064	1.81619485382332	0.950048767174792	1.34822202731603	1.68597903445017	1.28221500185727	0.586634748799009	1.01762388774866	1.08136937590095	-0.144963550680368	1.0782672741801	0.84825464174038	HIGH
TCGA.02.0003.01	-2.18571814575174	-0.370217539028184	0.594970654382812	-1.21758872718957	-0.386792420329151	-0.702098255779244	-1.27805607153222	-1.78913701832462	-0.0380310355629268	0.0922743662454103	-0.743777166608237	-0.266477471650406	-1.03704102930068	-1.90026186897066	-0.450506564212834	0.827379935254105	-0.661701894132444	-0.941534063920988	-1.11164628007212	0.503303414322067	-0.739792065374568	HIGH
TCGA.06.5412.01	-0.119675002522675	0.744553674793182	0.231527157276716	-0.54484991255592	1.30572109273691	-0.725462101328671	0.669326032443196	0.926571575788958	0.715338314728591	-0.196417360977439	0.542129416978984	-0.615375059235018	-0.200819545059419	-0.343703560808057	-0.208769771502893	0.783193350120576	-0.0612526763635272	-0.0304942446371739	1.20147624291931	0.0880924824960842	1.28518981182284	HIGH
