gene	rowname	B.cell	B.cell.1	B.cell.2	B.cell.3	CD34..Hematopoetic.Stem.cells	CD34..Hematopoetic.Stem.cells.1	CD34..Hematopoetic.Stem.cells.2	gamma.delta.T.cell	gamma.delta.T.cell.1	gamma.delta.T.cell.2	gamma.delta.T.cell.3	gamma.delta.T.cell.4	gamma.delta.T.cell.5	gamma.delta.T.cell.6	gamma.delta.T.cell.7	DC_Control	DC_Control.1	DC_Control.2	DC_Control.3	DC_Control.4	DC_Control.5	DC_Control.6	DC_Control.7	DC_Control.8	gamma.delta.T.cell.normal	gamma.delta.T.cell.normal.1	Immature.DCs	Immature.DCs.1	Immature.DCs.2	Immature.DCs.3	Immature.DCs.1.1	Immature.DCs.2.1	mast.cell	mast.cell.1	mast.cell.2	mast.cell.3	uninfected.mDC	uninfected.mDC.1	uninfected.mDC.2	uninfected.mDC.3	Monocyte	Monocyte.1	Monocyte.2	Monocyte.3	Monocyte.4	Monocyte.5	Neutrophil	Neutrophil.1	Neutrophil.2	Neutrophil.3	Neutrophil	Neutrophil.1	Neutrophil.2	NK_Donor	NK_Donor.1	NK_Donor.2	NK_Donor.3	NK_Donor.4	NK_Donor.5	NK_Donor.6	NK_Donor.7	pDC_healthy	pDC_healthy.1	pDC_healthy.2	pDC_healthy.3	pDC_healthy.4	pDC_healthy.5	pDC_healthy.6	pDC_healthy.7	pDC_healthy.8	pDC_healthy.9	pDC_healthy.10	pDC_healthy.11	pDC_healthy.12	Resting_CD4.T.cell	Resting_CD4.T.cell.1	Resting_CD4.T.cell.2	Resting_CD4.T.cell.3	Resting_NK	Resting_NK.1	Resting_NK.2	Resting_NK.3	Resting_NKT	Resting_NKT.1	Resting_NKT.2	Resting_NKT.3	Resting_NKT.4	Resting_NKT.5	T_cell.CD4.	T_cell.CD4..1	T_cell.CD4..2	T_cell.CD8._naive	T_cell.CD8._naive.1	T_cell.CD8._naive.2	T_cell.CD8._naive.3	T_cell.CD8.	T_cell.CD8..1	T_cell.CD8..2	T_cell.CD8..3	T_cell.CD8..4	T_cell.CD8..5	Th17	Th17.1	Th17.2	Th17.3	Th17.4	Th17.5	Th17.6	Th17.7	Th17.8	TSI_j
BTG3	20027	0.554972226	0.563649843	0.570328583	0.580776359	0.728137043	0.834044211	0.812082169	0.79311673	0.834127098	0.835113796	0.827773584	0.83667727	0.934959545	0.841808868	0.835208808	0.614723406	0.592721163	0.761630285	0.516954742	0.524457333	0.63768778	0.882735757	0.856484187	0.895591498	0.889436643	0.910827971	0.631290093	0.695067414	0.639249674	0.579814168	0.566375931	0.563717458	0.828055807	0.840529743	0.828589063	0.824584798	0.517620567	0.251979996	0.363655949	0.452996277	0.531469021	0.500984695	0.526082341	0.466381958	0.508182864	0.541496518	0.435395677	0.412785343	0.444332286	0.469420017	0.436360668	0.487084162	0.421013797	0.933437145	0.898067862	0.907640395	0.888794708	0.847016644	0.874756695	0.825792699	0.889112311	0.445017325	0.515672405	0.398604133	0.432973753	0.505116064	0.450000875	0.517029026	0.476506696	0.497341419	0.442807627	0.672494317	0.459340883	0.422987715	0.7103863	0.721601429	0.731965968	0.713659249	0.747586125	0.669135752	0.635421077	0.71949862	0.775858807	0.729181869	0.778528694	0.750294467	0.769903079	0.752891533	0.656267495	0.669259608	0.583776146	0.868196328	0.856893823	0.891702722	0.873400419	0.578853069	0.534979816	0.700264373	0.645546294	0.580785465	0.659106149	0.951461466	0.937009307	0.951659215	0.990621234	1	0.968476626	0.956928674	0.942533051	0.929703795	0.257597948
BTLA	40357	0.907446916	1	0.864399652	0.906598511	0.340098449	0.352382832	0.344820071	0.485354313	0.516800052	0.492710781	0.542167389	0.555821942	0.594374253	0.472273048	0.44572769	0.605274158	0.619894823	0.576071012	0.516232052	0.540460318	0.602706146	0.641404999	0.595327451	0.51144794	0.494933444	0.533740462	0.422487469	0.358533414	0.401472899	0.148484233	0.1257291	0.116405559	0.252437497	0.236472676	0.232564922	0.261873107	0.101365206	0.130857773	0.156159182	0.127010558	0.450536223	0.439425196	0.428160495	0.439109997	0.435863889	0.432351972	0.561892448	0.478622781	0.489023359	0.486287647	0.438706959	0.458218466	0.418175701	0.407724459	0.411237312	0.455934124	0.432885871	0.458519384	0.437815834	0.430495038	0.431339323	0.614551277	0.595701818	0.571668784	0.555989207	0.585339082	0.569557223	0.522972352	0.469815034	0.516997948	0.500922211	0.379851554	0.602621888	0.556829758	0.384892415	0.49797652	0.558434204	0.544780724	0.264901912	0.258769373	0.289735757	0.284774663	0.389444836	0.384628492	0.486471089	0.66615505	0.500996897	0.533589277	0.694228649	0.628171477	0.681881544	0.524897089	0.498283289	0.497085692	0.44439304	0.643184823	0.671711469	0.590155999	0.65756941	0.664360801	0.736039243	0.613554192	0.714660606	0.677164671	0.581040396	0.715695508	0.587845592	0.758914034	0.574069317	0.587030574	0.484648574
BTN2A1	11105	0.77272012	0.831313805	0.736694974	0.779776503	0.838489336	0.778973379	0.761190119	0.948987794	0.798266047	0.980819676	0.868765331	0.932714814	0.852704569	0.965232519	0.861144804	0.809431314	0.827478016	0.841366397	0.821776841	0.819276595	0.793879088	0.849788909	0.848170628	0.921057764	0.744443875	0.776516817	0.799651576	0.761399224	0.762623959	0.39818707	0.457123908	0.452550029	0.614899598	0.589141042	0.644055443	0.622568373	0.445385215	0.367638591	0.44405095	0.474125594	0.832723653	0.804092617	0.824383908	0.78520006	0.784834021	0.751337473	0.92024177	0.901754435	0.94834707	0.902904774	1	0.995434707	0.984748009	0.923800281	0.937464941	0.914575588	0.899540456	0.907040233	0.894230124	0.877283713	0.911176304	0.709043818	0.738915253	0.699159346	0.668487214	0.747014614	0.724472161	0.717934556	0.737825438	0.687373494	0.693384382	0.667507861	0.70453392	0.704422693	0.89460822	0.881924238	0.866660466	0.877866773	0.761564163	0.787483224	0.770268378	0.731863806	0.886748011	0.884547486	0.909021147	0.934690591	0.910993706	0.901988651	0.807443477	0.777455039	0.7944064	0.77962174	0.76537312	0.737924017	0.713066252	0.773762258	0.794623122	0.795539978	0.814996684	0.742384571	0.834652642	0.640788463	0.628752064	0.649831426	0.64269785	0.642591789	0.690746061	0.601568795	0.695269104	0.626449641	0.193499877
C12orf45	32237	0.837760104	0.834522052	0.797439201	0.812987858	0.707410393	0.70657457	0.775283131	0.634721309	0.65415129	0.58982282	0.678171289	0.626477138	0.636613354	0.608159289	0.688498123	0.85162152	0.765536234	0.973855029	0.847069442	0.83797595	0.874826233	0.814962273	0.953589369	0.818160091	0.703153926	0.723204432	0.945424487	1	0.972752084	0.667308605	0.686526176	0.677764869	0.656503555	0.651066052	0.655811443	0.657480263	0.29407482	0.310704922	0.298331794	0.347055356	0.848056907	0.875435177	0.788761247	0.872738938	0.883221072	0.868721363	0.335936428	0.289237518	0.326313344	0.296666622	0.629977442	0.619802612	0.608773095	0.773066851	0.741978555	0.74438053	0.746873534	0.797722486	0.798394461	0.739883423	0.797952786	0.979634485	0.921582255	0.97845568	0.958112624	0.937890317	0.944163521	0.910523978	0.909656037	0.909757446	0.982491059	0.931148938	0.976699787	0.899673328	0.565540944	0.56184373	0.5861936	0.598997489	0.567950469	0.538754055	0.551995469	0.577500934	0.628035217	0.613168321	0.601556599	0.58930962	0.626088483	0.596390312	0.865576201	0.813850429	0.829338744	0.819630536	0.810760886	0.805745534	0.799372156	0.79719426	0.797679676	0.749504288	0.811713339	0.795720735	0.829802956	0.787864029	0.820004978	0.802609094	0.809090982	0.827779822	0.801602312	0.863507244	0.818091347	0.82739322	0.251096053
C1orf122	31376	0.65269466	0.598065041	0.638916267	0.661235101	0.80161449	0.751177381	0.824591481	0.68413421	0.697484318	0.709800921	0.762868891	0.678771973	0.693599037	0.70431909	0.750537755	0.770088407	0.760373964	0.783268622	0.741030345	0.746719883	0.74180597	0.835762603	0.821104336	0.772574695	0.744937457	0.765387387	0.917678949	1	0.983954399	0.754010462	0.746828112	0.746565273	0.63064827	0.623922471	0.629413788	0.616095428	0.414651181	0.338651432	0.319431506	0.415612517	0.681970914	0.66695604	0.675207579	0.690922047	0.714441371	0.672727248	0.60011665	0.62619787	0.589834536	0.63893029	0.643850975	0.619126073	0.622593778	0.883425929	0.866872892	0.882072212	0.84629743	0.865378954	0.879502329	0.848599036	0.862883068	0.55510208	0.519094869	0.4726537	0.507308349	0.546731853	0.580390335	0.565409333	0.557324369	0.498840522	0.502347109	0.49971017	0.483969045	0.4929699	0.699391349	0.708688311	0.705081524	0.697184144	0.614976101	0.582849165	0.628079891	0.620057968	0.688277748	0.702874637	0.709232229	0.713868566	0.706433821	0.696064197	0.662390393	0.705181596	0.579666486	0.653111332	0.698181458	0.698754115	0.699858209	0.631054988	0.67273636	0.642715691	0.593271045	0.629010518	0.667649283	0.705898612	0.711438711	0.714098989	0.71078307	0.730023727	0.740849271	0.766377965	0.751201639	0.749177769	0.299277458
C1orf216	19689	0.572390561	0.507134514	0.520085719	0.541373855	0.697097524	0.68434426	0.698101569	0.682172477	0.743085292	0.687499786	0.774553297	0.704812399	0.739096384	0.7174067	0.75641749	0.50014106	0.519111279	0.50968693	0.512891065	0.55197403	0.534053378	0.687640545	0.679033969	0.653898623	0.746626191	0.755880687	0.663642259	0.648168825	0.660378776	0.373033006	0.383871593	0.396982979	0.620087591	0.581921	0.618131779	0.628076174	0.990760677	0.944839871	0.981307237	1	0.58212361	0.577621818	0.57194297	0.5655288	0.592474049	0.565532118	0.311974731	0.326327371	0.348330147	0.326327371	0.477908871	0.495886065	0.528173202	0.705668733	0.644285166	0.715596086	0.648587395	0.726027527	0.70441389	0.700080211	0.711003666	0.493008176	0.455024964	0.482978246	0.430594785	0.508918998	0.548471404	0.515450754	0.590246715	0.375055819	0.436564734	0.456446855	0.47920986	0.522073505	0.675077514	0.638492524	0.649883588	0.64811947	0.446220162	0.583573429	0.603583808	0.636222419	0.629598317	0.667976824	0.651957181	0.636816863	0.634768902	0.620936917	0.575035398	0.553485924	0.519983403	0.545581569	0.551142302	0.538476604	0.565630673	0.519236573	0.504659168	0.594929715	0.550134813	0.54879632	0.558908155	0.638127528	0.665916568	0.651126728	0.67586992	0.705086223	0.676049107	0.70664402	0.636982401	0.649853985	0.35340427
C1orf54	25717	0.667965535	0.668459604	0.630509487	0.597345923	0.816637595	0.772424278	0.908048319	0.559919129	0.535093456	0.548750463	0.615459619	0.540862204	0.473864956	0.53150415	0.549178529	0.917045099	0.912548828	0.893249456	0.820622513	0.833981018	0.826326162	0.849171459	0.79775741	0.69140627	0.445345707	0.461935792	0.975290868	1	0.978912196	0.770549492	0.765166447	0.767276753	0.421761728	0.41855007	0.400491572	0.41473612	0.437458996	0.244734631	0.353213885	0.300357044	0.809602657	0.84861466	0.723967558	0.823723047	0.805566957	0.748794179	0.31818313	0.33488674	0.355367554	0.378631513	0.541874195	0.561755754	0.596605808	0.571348794	0.582377039	0.588154404	0.583780325	0.554624226	0.491598022	0.508426792	0.560264337	0.414692557	0.422475196	0.378795305	0.338763206	0.385861579	0.45001719	0.499547109	0.472215615	0.452929658	0.331786408	0.300240128	0.347038438	0.387828171	0.631685479	0.673701223	0.696023408	0.646938481	0.435736107	0.389971199	0.391952681	0.366063335	0.643129493	0.631253502	0.687072324	0.631493672	0.671509045	0.723899813	0.696764554	0.657863948	0.693319835	0.747639127	0.754116749	0.720173024	0.721911964	0.659107521	0.632641999	0.643173826	0.661996622	0.653692148	0.650962658	0.523350561	0.512464005	0.507476501	0.48899063	0.530224795	0.524776324	0.520800188	0.576972113	0.52551728	0.360633305
C1QA	24445	0.497375618	0.499454197	0.492928406	0.476151173	0.986705732	0.949722075	1	0.423741235	0.425044587	0.422664359	0.435377981	0.403570009	0.403287281	0.435928927	0.415373714	0.35175902	0.653552204	0.416409358	0.424271335	0.407610265	0.356836882	0.35138619	0.336846153	0.360831815	0.364561314	0.388038576	0.88298522	0.743133155	0.775903756	0.497964844	0.505478048	0.502659878	0.29689885	0.299121609	0.294849798	0.291562009	0.433367615	0.300721177	0.352725604	0.424695996	0.522013404	0.499506308	0.553758252	0.501765113	0.516782259	0.562673415	0.247542584	0.263604334	0.254491856	0.280148621	0.47329734	0.472400957	0.470649735	0.434970814	0.453966468	0.452341978	0.402685886	0.475640487	0.462424352	0.426246825	0.413126408	0.400293922	0.430326746	0.430847837	0.439823886	0.318316287	0.383166031	0.374968859	0.343198397	0.423328411	0.464241191	0.398371862	0.397433644	0.417383308	0.286568131	0.283438714	0.291366056	0.290646681	0.26051222	0.25602821	0.251366117	0.244343328	0.304769863	0.253098751	0.268836168	0.28860861	0.276548917	0.293107884	0.478637148	0.500633382	0.488771982	0.444230502	0.420867945	0.415675835	0.441415497	0.499915421	0.473857361	0.468727285	0.489285517	0.469901553	0.491778845	0.364820337	0.356502606	0.362334543	0.349676626	0.339589983	0.364627277	0.367082345	0.359265913	0.324037828	0.542399413
C1QB	10120	0.393548663	0.397894485	0.44207111	0.433638221	0.944101354	0.977048434	1	0.398854705	0.427177475	0.404725398	0.450360318	0.366922129	0.402938793	0.395026467	0.406424571	0.363057832	0.476210663	0.38885042	0.395728515	0.35872944	0.343491854	0.392812526	0.335384447	0.33696078	0.412492156	0.4086247	0.926341133	0.748954465	0.75379488	0.36366665	0.325208366	0.367399953	0.267510453	0.30782847	0.314298338	0.27657506	0.094050321	0.099556089	0.10981817	0.124460029	0.456508353	0.464781255	0.457362036	0.442060559	0.488589011	0.445521884	0.252604145	0.248815578	0.233504114	0.236560251	0.40619344	0.429988351	0.416798228	0.419228526	0.429769349	0.426001602	0.419893825	0.376998474	0.389477721	0.361703068	0.401044938	0.241912414	0.263895413	0.280508999	0.286511343	0.186666417	0.271046695	0.233076789	0.25544247	0.358719144	0.292189842	0.319229315	0.282988277	0.294499657	0.337719193	0.339010114	0.34534527	0.331590705	0.263015238	0.28717502	0.28717502	0.282610961	0.328141201	0.363775841	0.348614563	0.337407209	0.333710466	0.339940544	0.411259446	0.477300362	0.425171789	0.39069051	0.391942435	0.424100666	0.390568814	0.383678109	0.432818984	0.401803565	0.412246899	0.397306857	0.42459611	0.352526532	0.332458965	0.35549113	0.362528117	0.341068227	0.380144828	0.357678708	0.324502473	0.32713132	0.579779968
C1QC	31249	0.370688494	0.401894227	0.418362122	0.416674737	0.991207524	0.940612571	1	0.449130434	0.443513928	0.439667204	0.426902343	0.465074929	0.436591073	0.462760189	0.433048619	0.309331854	0.308737843	0.327093422	0.322710962	0.313245937	0.303370194	0.300406193	0.29031986	0.303370194	0.301148449	0.291587834	0.798108839	0.702867847	0.701288106	0.495264208	0.479320755	0.506371522	0.232676145	0.205380554	0.227224598	0.225109478	0.284233527	0.252686364	0.285436524	0.348029162	0.396346891	0.398245002	0.404445433	0.416671775	0.394203584	0.425270588	0.256886548	0.248341791	0.239937012	0.240200615	0.409168097	0.436158394	0.428398588	0.358047108	0.337232107	0.355369075	0.346732687	0.355527133	0.362638703	0.340079391	0.340294666	0.335997584	0.410204346	0.368379928	0.398962491	0.354707927	0.330689719	0.349948533	0.339287225	0.409454824	0.403159347	0.344750178	0.36894554	0.363299053	0.315469613	0.319899347	0.306206995	0.331165942	0.268444149	0.277035417	0.230199126	0.232821306	0.310550693	0.298545734	0.293441004	0.307756659	0.332065988	0.318394936	0.393195145	0.424842343	0.419464669	0.412490461	0.414002519	0.389454061	0.407409177	0.409193065	0.42716819	0.400284418	0.399887167	0.426223783	0.4041585	0.244019849	0.237807699	0.271885141	0.24083601	0.240314394	0.237268951	0.241835968	0.232897867	0.297921417	0.609501838
C1S	15805	0.778132194	0.765743576	0.746035522	0.794928988	0.665867182	0.653943015	0.702527096	0.6831788	0.645384959	0.677317637	0.659608441	0.607134213	0.697904325	0.619923421	0.635540894	0.516784411	0.504928216	0.563616194	0.514375789	0.513958048	0.550771539	0.50352338	0.489712778	0.489449326	0.438987867	0.46643859	0.737097402	0.70598376	0.746782283	0.266818675	0.269842101	0.335118703	0.474690443	0.471790875	0.4936616	0.480805235	0.959779478	0.938907298	0.98374682	1	0.731330818	0.709112004	0.768665179	0.758727927	0.702290448	0.75196616	0.327390386	0.386575611	0.371160818	0.35135316	0.733188115	0.686589332	0.717295225	0.535644101	0.578225007	0.588311471	0.557805127	0.540884443	0.570308902	0.57462574	0.596468479	0.332466348	0.307920211	0.357118681	0.359502383	0.413516738	0.417599019	0.404217132	0.460316565	0.426287791	0.401426596	0.52392437	0.418538881	0.470412826	0.590619325	0.581627384	0.599477139	0.553101394	0.390540503	0.383724412	0.395379015	0.4190961	0.58408587	0.610446326	0.585167146	0.595553093	0.592791859	0.604903349	0.758760225	0.757732549	0.778371981	0.723290822	0.786686139	0.756192363	0.764090016	0.80353455	0.805765212	0.798911502	0.797903675	0.773805081	0.762857523	0.40231286	0.395112479	0.407635609	0.377092515	0.384566623	0.420016997	0.387003685	0.404223497	0.390444102	0.360668605
C21orf91	31999	0.66499867	0.65814084	0.704139298	0.69766862	0.77745389	0.796876381	0.739759594	0.918793791	0.902604191	1	0.878192914	0.921476898	0.941617763	0.964386194	0.892540889	0.741561477	0.714792928	0.69625455	0.781724702	0.769776365	0.738502536	0.833020897	0.838693247	0.831816746	0.885966624	0.859286028	0.799846916	0.770070372	0.793420467	0.381295246	0.357978485	0.369882102	0.475003755	0.429677229	0.474272164	0.488564679	0.420646249	0.346631512	0.340987072	0.435554568	0.749347286	0.758913022	0.729590296	0.670430786	0.739411933	0.679912036	0.495508423	0.477970158	0.564130763	0.545768149	0.785782377	0.786142236	0.775248175	0.846070691	0.866574086	0.827207814	0.849191541	0.841843327	0.824111515	0.860109204	0.854406601	0.698067858	0.71765745	0.660945813	0.675129626	0.632280606	0.670308458	0.623426637	0.685208691	0.603074319	0.637450606	0.530034799	0.714003082	0.680988121	0.91970794	0.929992531	0.919908902	0.924777727	0.728580639	0.758281401	0.743394133	0.777100918	0.935419232	0.932564888	0.930192229	0.922445384	0.902887888	0.926885932	0.803775895	0.777265556	0.772217854	0.813101865	0.792928539	0.792418208	0.799703239	0.770034346	0.717444948	0.784930643	0.738515931	0.75543031	0.827101239	0.7254158	0.687330906	0.727905006	0.711596033	0.736082644	0.7436833	0.749809251	0.707361732	0.712510809	0.226931698
C3	23980	0.544661298	0.528891428	0.611918577	0.563256899	1	0.886098427	0.976435326	0.466548091	0.459722435	0.455500494	0.421528272	0.452534333	0.444067943	0.508688268	0.457735941	0.40592141	0.728540398	0.570132479	0.402505825	0.4675052	0.417158912	0.644367047	0.506519197	0.487744223	0.582452524	0.598083999	0.616779859	0.622410232	0.651103716	0.640836584	0.63681812	0.621551667	0.566894801	0.592073111	0.605341368	0.592175781	0.507276745	0.289555935	0.451348207	0.484082672	0.588624246	0.624450355	0.55794237	0.605827384	0.561841944	0.574146706	0.461643283	0.437606907	0.443170047	0.461313092	0.579847101	0.557651999	0.570549241	0.534915923	0.53320345	0.595558291	0.555286078	0.558353826	0.587869857	0.530196117	0.552625275	0.332094065	0.331796317	0.32259329	0.357825732	0.355049473	0.383941782	0.403953559	0.375619439	0.377437792	0.384791382	0.398076738	0.333767583	0.335516134	0.466487788	0.476016765	0.480403129	0.473361354	0.395328796	0.40783277	0.465727511	0.535436141	0.474824791	0.458175931	0.483611162	0.490304895	0.465115773	0.452351682	0.560089955	0.557856047	0.579324167	0.565409812	0.53157253	0.564914388	0.537246796	0.565315463	0.562186815	0.57317736	0.535974839	0.559184643	0.541550642	0.524873758	0.52166307	0.554147818	0.551441827	0.559075983	0.536630616	0.572858177	0.553583864	0.587274029	0.431883783
C3AR1	16950	0.546967652	0.592559653	0.605072766	0.59512928	0.832097035	0.875208742	1	0.674461702	0.611049033	0.71430892	0.719162926	0.717992831	0.663035039	0.744446719	0.634933237	0.511254845	0.891577459	0.617687354	0.563353999	0.569256587	0.567520372	0.815465274	0.65969461	0.53100488	0.811686649	0.801365682	0.942904759	0.854086445	0.854663516	0.30085065	0.233323722	0.2801854	0.853939745	0.859868427	0.85974711	0.844914461	0.092719282	0.100092928	0.110047024	0.111397019	0.870104231	0.85911894	0.703595555	0.872147762	0.817293933	0.863881633	0.882587462	0.743564484	0.783171302	0.876794294	0.695675931	0.707564323	0.71584077	0.788090569	0.723583969	0.830344259	0.679181434	0.767118621	0.842511885	0.725822805	0.722654469	0.532914491	0.481686391	0.474681442	0.528702002	0.455114496	0.503699461	0.473900555	0.51488533	0.619185459	0.551466668	0.514837763	0.499634317	0.567868192	0.648205401	0.61395468	0.622635727	0.582149618	0.668382748	0.69042844	0.643064517	0.570908202	0.668365547	0.679554434	0.774073717	0.734823395	0.704673937	0.688572014	0.660237139	0.684388357	0.712763176	0.549470667	0.545992358	0.585762916	0.55952415	0.573304028	0.561386979	0.655096102	0.633460308	0.625697834	0.666673291	0.664669705	0.660149637	0.67837143	0.67926688	0.729726041	0.742110101	0.616003785	0.655675855	0.636806674	0.2775887
C3orf80	40712	0.345477637	0.326989241	0.324149482	0.351711752	0.29770824	0.352628313	0.307252337	0.275977928	0.275726893	0.276977699	0.285501297	0.267676268	0.266137164	0.271762917	0.30498046	0.294988541	0.294864438	0.277887273	0.2891138	0.268335636	0.321184354	0.30750016	0.290713054	0.282464554	0.236742544	0.243563865	0.36636314	0.351714964	0.376684008	0.076838695	0.120017823	0.08350867	0.985820745	0.987468268	1	0.99462762	0.274768583	0.349505225	0.299801968	0.285781399	0.337198517	0.341102551	0.34747707	0.322438126	0.33482962	0.329848254	0.210723914	0.240293575	0.215862448	0.190770449	0.374378976	0.343475606	0.347934529	0.417614478	0.401188987	0.443424542	0.451825593	0.385568553	0.389686405	0.384748095	0.394449542	0.14639777	0.198569682	0.149913423	0.159514201	0.131534484	0.153470061	0.143999715	0.175330309	0.15753897	0.151979141	0.143596976	0.164261145	0.132126929	0.243485814	0.277829702	0.248777926	0.258308779	0.235333607	0.248143029	0.241450938	0.241627907	0.25004899	0.263311463	0.251636335	0.229936868	0.274477631	0.259359209	0.325729627	0.334382443	0.332932442	0.351253675	0.36044649	0.356337329	0.351826284	0.352954583	0.347859605	0.338317001	0.332485299	0.344221779	0.32727532	0.230403745	0.246234663	0.265825648	0.231225031	0.26856544	0.225101792	0.241442502	0.250003481	0.241929661	0.678371744
C5AR1	26294	0.286765939	0.301139951	0.293664641	0.275275399	0.723925732	0.669712619	0.762665473	0.229770991	0.238164628	0.210826235	0.216927705	0.216927705	0.210721841	0.222217704	0.204375417	0.276274105	0.722031924	0.522067788	0.31925076	0.32654458	0.288689802	0.56339099	0.400410471	0.438149951	0.207902836	0.201534598	0.698913858	0.542274863	0.675384931	0.403609724	0.380891951	0.399251923	0.296587431	0.289674913	0.297123601	0.272954715	0.059001275	0.120653273	0.08765353	0.070301894	0.633177686	0.635105221	0.697064913	0.63344309	0.672275211	0.55474047	0.992816658	0.999231756	0.988150998	1	0.864913848	0.865613523	0.885052363	0.390831749	0.428286416	0.714780211	0.464111377	0.636651937	0.72207645	0.4034597	0.567999008	0.389349328	0.34093148	0.247599579	0.372414422	0.369398117	0.301014613	0.25513603	0.314573437	0.482172376	0.424757658	0.568010597	0.281721362	0.430991959	0.229833752	0.22551822	0.233814499	0.228516199	0.40275551	0.304247599	0.298412708	0.268497415	0.241102378	0.246249146	0.237548742	0.23573614	0.228664634	0.22550511	0.337431991	0.423035361	0.334359417	0.251602061	0.265426278	0.250194412	0.26543909	0.259933104	0.286552113	0.259494081	0.263767494	0.267570844	0.256289902	0.196111013	0.216070744	0.216113975	0.23265539	0.204079019	0.222656646	0.211263351	0.248991896	0.274049591	0.585130955
C5orf15	10191	0.754525849	0.798280651	0.781170278	0.782890594	0.807877307	0.870254505	0.85091974	0.810962773	0.776300073	0.80588785	0.785791395	0.81201786	0.80561322	0.81097665	0.807469336	0.86770917	0.8436719	0.813083266	0.890564288	0.890237449	0.865578852	0.994595886	0.92295336	1	0.76821535	0.77926243	0.857637821	0.863419885	0.882471684	0.570365211	0.584426568	0.58081097	0.767739594	0.75607181	0.749745088	0.760439516	0.383802163	0.277172486	0.310153788	0.425419812	0.834644407	0.842072517	0.782972851	0.830285803	0.847662879	0.80860751	0.489787311	0.502999921	0.526374678	0.555055349	0.72903024	0.696230956	0.678544743	0.81086765	0.840732712	0.838431099	0.809701752	0.817252003	0.811424155	0.791277962	0.812587893	0.750489026	0.750702879	0.718396465	0.706347891	0.770380224	0.736397876	0.769931829	0.804604423	0.694113835	0.688695258	0.621510838	0.731478416	0.708994556	0.827259166	0.820515439	0.81782103	0.820731829	0.628915328	0.698765911	0.660394434	0.673724284	0.82570681	0.84343323	0.823293017	0.809377043	0.812425069	0.82400345	0.758838724	0.742011789	0.75713902	0.721784359	0.670462289	0.690726193	0.674923677	0.700395001	0.713471683	0.706452702	0.69068486	0.716369755	0.777315171	0.817639489	0.785102665	0.802540061	0.827267932	0.830897916	0.819279953	0.803074746	0.818600984	0.782994241	0.221346041
CALB2	12585	0.471558224	0.485804764	0.482606102	0.475204122	0.543146876	0.540613209	0.549559497	0.445640752	0.474274078	0.445256743	0.44277482	0.440755157	0.424838249	0.459425108	0.436666612	0.348513295	0.353096495	0.374862767	0.378988472	0.373854887	0.364701833	0.378331509	0.349935302	0.380880687	0.441906883	0.44130435	0.546174883	0.542752564	0.540868536	0.254099591	0.22875901	0.237063525	0.995154997	1	0.99643113	0.999696512	0.113647991	0.137794497	0.135867497	0.13288708	0.449920589	0.455067538	0.470886403	0.467927315	0.437912627	0.474577843	0.298506297	0.322955127	0.309366687	0.305595331	0.453946808	0.479334457	0.467406742	0.431456839	0.45373202	0.504645124	0.443738615	0.403430446	0.407683354	0.468423662	0.434180771	0.239934105	0.29005949	0.297681622	0.28889333	0.274932881	0.24197335	0.275270625	0.312705918	0.305780147	0.292694825	0.216124105	0.283396106	0.240459167	0.414201487	0.404391451	0.42645572	0.405258293	0.30944549	0.320472801	0.292588449	0.302420345	0.402293042	0.411809537	0.4025326	0.390122362	0.411221339	0.418392245	0.450647616	0.499079214	0.473590961	0.470158472	0.463150425	0.474295248	0.494309819	0.490735572	0.483681866	0.469447817	0.460747536	0.481776795	0.464781788	0.364969037	0.365690717	0.358142939	0.395729945	0.363978969	0.380733059	0.402449889	0.379946727	0.419575849	0.563517786
CALCOCO2	17819	0.897794613	0.928787289	0.863802561	0.88902819	0.812152306	0.930424133	0.882098628	0.82836354	0.909983231	0.898922757	0.928696296	0.851144408	0.906828771	0.887798898	0.944647806	0.830303819	0.912995193	0.877621206	0.830941496	0.827465518	0.833364663	0.84045109	0.779919733	0.820184648	0.836742765	0.836765663	0.896094778	0.885557542	0.890001957	0.580022197	0.593064706	0.593461569	0.804977849	0.796402373	0.804409413	0.795540905	0.135515511	0.148635404	0.116158511	0.178536108	1	0.987246768	0.943458843	0.950673883	0.958694042	0.945977239	0.860398141	0.867769661	0.897699694	0.857634503	0.994344009	0.965520649	0.963911047	0.880245306	0.886932487	0.879898905	0.880588471	0.953011568	0.922384049	0.932692087	0.916216719	0.683520151	0.654353518	0.615142004	0.563949682	0.62586005	0.623817566	0.647859226	0.592068112	0.652199962	0.588839127	0.566041693	0.649096694	0.588987474	0.837342827	0.844348303	0.830057037	0.868377671	0.741346726	0.743742863	0.785969456	0.787429787	0.8491029	0.785313538	0.860158613	0.85879117	0.858691974	0.894422791	0.914081976	0.909053745	0.917077239	0.913582513	0.876796504	0.897981845	0.89050631	0.842848405	0.853051462	0.880625729	0.877055689	0.846949904	0.902806483	0.606795451	0.600781268	0.623104505	0.609227564	0.613136633	0.627687116	0.569911048	0.59279848	0.598977414	0.168028436
