samples	pca_1	pca_2	pca_3	pca_4	pca_5	pca_6	pca_7	pca_8	pca_9	pca_10
02-0003	0.653250026	-0.838399734	4.364575242	0.258403746	-0.060314767	4.79548476	-1.730631693	-0.941155609	-0.422137251	-0.049041905
02-0011	2.163790017	-3.973950343	2.048088971	-2.020127851	1.807693509	-0.45771481	3.623654678	0.641047505	-0.136944827	-0.026303032
02-0027	-5.679285029	0.857687563	-0.534163382	-0.634169611	0.604940036	-0.502817106	-0.868831065	-0.599672878	-1.431753555	1.122670624
02-0033	-2.997843255	-5.572670009	0.786290677	2.116063278	0.763794667	0.629826886	1.053992913	0.03633641	-0.566783031	0.183565892
02-0034	-0.427617821	-2.498123404	4.979961287	-1.138004808	0.488602297	-0.469454125	2.024177152	-0.601369814	-0.065782329	-0.647929643
02-0047	3.64709503	-2.494891448	-0.026120588	-0.413669389	-0.76358973	-1.258267551	-1.829450109	1.19610171	1.092632868	-0.507336696
02-0059	-0.245210271	-0.943500826	2.293670946	-1.488108087	-0.140373111	0.378575967	0.5014541	-0.846272512	-0.104770739	0.218344406
02-0069	0.342460253	-3.218702768	-1.240401662	-0.48705365	-0.404675822	0.707381977	-0.264720816	0.023629569	0.044134925	0.079409618
02-0070	4.223537205	-2.307600879	3.546018152	-2.964594619	-2.355799269	2.134652973	3.873910655	-1.324432701	0.564205755	-0.223996469
02-0085	3.261669252	-1.619004804	3.618817623	-1.750446579	-0.674880471	2.462243527	-0.008965627	-0.472046747	-0.216603133	0.27432085
02-0086	-1.741470148	-1.351859441	-0.889536527	-0.784178048	-2.18287955	0.478567537	1.597224132	0.214229544	-0.23616109	0.136000666
02-0087	2.789740109	-1.415136093	-0.691349874	-0.797149558	1.019404257	1.260692469	-1.16074875	0.672185092	-0.347128099	-0.312217514
02-0106	-6.375401676	-4.851659671	-0.891866817	3.461381928	2.33445025	-0.424888781	0.164576228	-0.635219629	-0.383073868	1.114921979
06-0128	-8.247652659	0.649236004	-1.5592773	1.34614927	0.034413049	-2.501543881	0.71215522	-0.336392947	-0.442922465	0.932505974
06-0129	-5.305274319	3.130818712	2.493206599	-0.276523937	0.184857404	-0.53681448	-1.74066477	-0.860427433	-0.635053195	0.511273509
06-0130	-1.630182826	-1.31883591	-0.584279877	-2.299694491	-0.368726939	-0.148402115	-0.235149919	-0.725651413	-1.088912238	0.278387284
06-0139	4.661938965	1.356817912	-2.52684072	-1.747100381	-1.829209993	0.723243749	-1.575299846	-0.028595872	-0.009742124	0.702379466
06-0141	-1.314026658	3.962369092	0.376132157	-2.563372857	2.11240098	-2.191507703	-0.521647806	-0.394279038	1.030672982	-0.118376456
06-0143	-3.544185252	3.0600451	-3.283800268	-2.927495715	1.484999419	-0.04614182	-0.233820041	-1.388528602	-0.339965398	2.191696949
06-0145	0.973203972	6.034715427	-0.513433338	-2.473710652	3.884839101	1.383456058	-1.006013218	-1.237369033	0.986852044	-0.555466637
06-0147	4.418054269	0.356522604	-1.334086475	-1.266609001	4.15007935	3.156909286	-0.578714465	0.051515907	-1.699412501	-0.840158779
06-0157	2.45648172	-0.973796843	1.174124022	-1.518009639	0.197400687	0.203918218	-0.209442534	0.211445767	0.101929248	0.469689659
06-0165	-1.924585776	-1.89606036	-0.498942015	-1.633485024	1.000579558	-0.904286489	0.749930967	-0.375104992	-1.021467386	0.397530278
06-0171	6.226665657	5.602940293	-0.042272227	-1.119505844	4.67482368	0.379408875	-0.698563052	-1.151962148	2.470531509	-1.556351341
06-0173	3.344751301	-1.533161501	1.166105578	-2.125839949	-0.956944554	-0.805562319	0.056453703	0.880355548	0.239410002	0.610954656
06-0178	-1.881148472	0.307587744	-0.583015827	-0.65226984	-1.664120822	-0.053729248	-0.685277591	0.033076536	0.0887117	0.69146076
06-0185	2.277749347	1.96732935	-2.251912472	-3.754105628	0.410434566	-2.129770629	-0.8258018	0.333933569	0.254263603	-0.469800664
06-0189	4.919861628	1.959457798	3.827225917	-2.683817164	1.244924521	1.314120708	1.101235138	-0.085454594	2.068581259	-0.387171144
06-0192	-0.280635473	-1.409826273	-0.007603844	0.333408912	1.887248198	-0.384358991	-1.096790038	0.292786364	0.695704721	0.205880591
06-0213	3.496340787	-2.135700875	1.077079746	-1.375213472	-0.528848073	0.375146303	-0.398724534	0.817082533	0.182278065	0.6810838
06-0214	9.245866725	4.51700222	-3.013138097	0.885974947	3.67037108	0.358625284	-0.118326119	-2.111202611	-1.479515378	-0.866529523
06-0221	-5.800195707	-2.611738268	2.022323526	0.301099994	-0.663639737	-2.431551269	2.814972393	-0.973163464	0.065599106	-0.39616629
