samples	pca_1	pca_2	pca_3	pca_4	pca_5	pca_6	pca_7	pca_8	pca_9	pca_10
06-0644	1.96613719	-0.77192638	2.735924485	-1.6590744	-2.8042828	-0.452235828	-2.109163435	-0.234368543	0.732197676	-1.467065315
06-0881	-10.39162202	11.82684788	-5.491154422	2.20142478	-3.205306753	2.373617036	2.058858876	-0.078367165	1.109542744	-1.094105633
06-1802	1.384044685	0.692175902	-0.301765975	-1.808397568	-0.556649793	1.125432823	-1.113749969	-0.539354325	-0.257932801	0.42233303
06-2570	3.087822567	-0.833781048	-3.82905375	-2.222574945	-0.383687501	0.29173015	1.055635866	0.038064548	-0.861327879	0.557135867
06-5412	-0.447618616	-6.791399592	0.951361613	3.520362092	2.282686959	1.48575912	-0.555616647	0.581968787	0.055620744	0.098537538
08-0354	-6.048677054	4.137597578	8.89692016	1.720294179	-2.187374562	-0.598055935	-0.019374435	-0.288377092	-0.136425953	-1.093056238
08-0358	-4.348358019	4.008770582	5.204230415	1.225466916	-1.453942878	-0.60074888	-1.716595966	0.353652015	-0.774616718	0.017291665
08-0389	-4.566451996	1.129070424	-5.464058642	-0.541916388	-0.579435279	-1.82059043	0.982315078	-0.686341974	1.058035002	0.356361225
08-0390	-1.884896613	-0.704933195	-0.13077222	1.047223285	2.308866807	-0.828915819	-0.509659849	1.031287563	-0.345389153	0.393817107
08-0521	-5.274093874	3.859611948	5.553226219	1.760651643	0.84610538	-1.212128993	-1.130448049	0.581452015	-0.132136903	0.050121037
08-0522	-9.279103353	7.374645008	5.628455325	3.572452334	2.03507084	-3.64043078	0.163708193	1.892297968	0.184958583	-0.437017441
12-0769	-7.419088867	4.646900326	-1.46624841	0.188632458	-2.246501866	-0.756711459	-0.774880967	-0.852395199	0.39681144	-0.145844267
12-1093	6.235711623	-5.642907751	1.297650781	-0.268833714	0.173022316	0.203841892	0.606615426	1.762165866	0.475934216	-1.790905558
12-1094	1.765174999	-3.332249748	2.262358479	-1.707332012	-1.895387939	0.430725105	1.26411864	-0.255893476	-0.107906363	-0.263208914
12-1598	0.549298758	-4.285451563	1.482188803	1.118406571	-1.371037462	1.158423993	-0.055849145	0.178100664	0.26485063	-0.418654529
14-1452	-8.139339975	9.925609247	-2.796205354	2.610183076	1.438027888	4.634019029	2.102986447	5.162903835	-1.702352874	-0.454625874
14-1453	7.051871122	-1.536177246	-5.23615539	-1.271253028	0.456320235	-4.358698351	0.7382489	3.195907835	-0.14427422	-1.465836403
14-1458	-2.381702048	3.696384629	-5.240107926	-2.598803595	0.631500562	-0.211215788	0.476042794	-1.304433283	0.597109998	0.666997965
14-1821	-4.393321869	2.598079947	-1.825006685	0.400596878	-3.96736633	0.709750438	-1.498484906	0.158168054	-0.18976902	0.232855484
14-3477	-2.374198837	2.927672321	0.69058566	-1.415670106	-3.719874262	1.308378133	-0.349249482	-0.466350782	-0.189764326	1.005560638
76-4928	26.02098654	7.361235944	-0.706593414	7.489407352	-2.002270356	-2.110481814	1.154672649	-3.440458238	-2.963170639	-0.692871982
76-4931	4.09970181	-5.425224185	-2.610095408	-0.015449409	-0.159126981	0.106268485	-1.057510809	2.379988674	-1.857825112	0.089823602
76-4935	-0.987963999	-1.574875185	-3.979748393	-1.061912177	-0.94553496	-0.54487759	1.744693347	0.37470559	-0.208859038	0.365553187
76-6192	5.086792557	-2.297223226	-2.658188826	-2.260382138	-3.577184381	-1.811040415	-2.456968773	1.662504188	-1.06169766	-1.61277114
76-6280	-3.588076487	-4.249924019	-1.050599396	2.578538652	0.289402991	0.161070093	-0.957645639	-0.581710487	1.025904728	-0.166820322
76-6285	22.73469089	4.138906679	1.738464583	4.92608558	-0.809051238	0.114314745	0.280717197	2.784923819	3.276795942	3.422225752
76-6656	-6.109123463	-2.884198194	2.441751811	2.251034948	0.969466119	-2.057052948	0.456587477	-0.424000688	-0.052950659	0.292082437
76-6662	-4.133241419	-4.754013645	0.916362755	1.360430623	2.141326388	-1.12257747	-0.236444484	-0.637134288	-1.057263008	1.133706206
76-6663	-4.709716644	-9.174141861	-4.010993341	6.73652513	-0.40481686	2.531513775	-0.919216236	-0.848094143	0.748247771	-0.729340685
76-6664	-5.213378506	-4.86299194	-6.304312671	4.315656705	-0.665218055	-0.004525579	-0.110495582	-1.816235752	2.860273669	-1.117509305
